transaction_id,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,hour,amount,channel,card_present,merchant_category,distance_from_home_km,distance_from_last_txn_km,ratio_to_median_price,is_foreign_transaction,is_fraud
24445,0.9137,1.2452,0.2475,-0.1132,0.3489,0.6087,-1.5083,-0.4515,1.4322,0.3175,4,7.32,online,0,travel,5.56,11.78,0.792,0,0
36162,-0.4464,-0.7043,-0.2839,0.1521,0.3621,-0.0404,-0.0647,0.4258,1.0341,-0.003,2,17.44,online,0,jewelry,9.3,0.83,1.429,0,0
25917,-1.546,-0.7059,-1.3722,-0.8569,-0.4448,-0.7544,1.6054,-1.3946,1.0311,-1.3141,1,75.13,card_present,1,travel,0.56,6.49,1.385,0,0
33613,0.002,-0.9264,-1.1619,-1.3897,-0.6892,0.0663,-0.5112,0.4847,-1.0446,-1.2163,21,20.07,online,0,grocery,6.96,1.41,1.399,0,0
43414,-0.1918,0.3299,0.8143,0.6926,-1.7265,-0.2732,1.8602,0.8986,-0.2656,-1.693,20,6.85,card_present,1,online_retail,9.54,0.46,1.351,0,0
57268,0.5659,0.0123,0.3505,-0.4178,2.2706,-1.9414,0.7018,-1.8246,-0.2965,-0.0908,4,69.8,card_present,1,dining,19.04,1.99,1.968,0,0
59098,0.935,1.7945,0.9129,0.4295,-0.2865,-1.0808,2.0705,-0.2744,-2.4448,-0.1238,10,16.23,phone_order,0,jewelry,1.9,6.28,1.274,0,0
45528,1.414,-0.157,-1.8086,0.1023,-2.228,-0.4872,0.7138,-1.5916,-0.2883,-2.0667,9,25.55,card_present,1,online_retail,2.72,4.26,0.99,0,0
13397,-0.689,-0.5487,-2.1745,0.6453,1.3889,0.3508,-0.9206,-1.405,-1.2684,0.0661,22,11.7,online,0,grocery,14.47,6.18,1.038,0,0
9633,1.1732,-0.2174,-2.0067,-0.4062,0.4335,-1.3377,-1.0923,0.7198,1.0578,0.7802,13,20.36,card_present,1,travel,8.32,5.16,0.817,0,0
3264,-0.4099,-0.7652,0.6139,-0.5674,1.4035,-0.2961,-0.0973,-0.474,-1.1539,-0.8514,8,15.26,card_present,1,grocery,1.16,17.37,1.575,0,0
41243,-0.6442,-0.0195,1.1667,1.3601,-0.7587,-0.0926,-0.1451,0.0326,1.6145,0.8764,1,8.02,phone_order,0,travel,9.68,25.82,0.903,0,0
58535,0.2466,-0.593,0.6454,-0.0316,0.7697,1.3398,0.9639,-0.1292,-0.0223,0.4312,8,81.97,card_present,1,utilities,2.41,7.39,0.835,0,0
21211,-1.8764,-0.2392,0.6517,0.2914,-0.6357,-0.0334,1.0574,0.1022,1.296,-1.2387,16,40.35,online,0,electronics,36.25,7.61,0.935,0,0
43442,0.0026,-0.3596,-1.3206,-0.2973,0.5794,-2.3127,0.4739,-0.14,-0.312,-0.4659,14,152.02,card_present,1,jewelry,6.89,5.58,0.758,0,0
